alien,宇宙人
asteroid,小惑星
astrology,星占い
astronaut,宇宙飛行士
astronomy,天文学
black hole,ブラックホール
comet,彗星（すいせい）
constellation,星座
dwarf planet,準惑星
Earth,地球
eclipse,日食、月食
galaxy,銀河
gravity,重力
heavenly body,天体
Jupiter,木星
light year,光年
Mars,火星
Mercury,水星
meteor,流星
moon,月
Neptune,海王星
orbit,軌道
planet,惑星
rocket,ロケット
satellite,衛星
Saturn,土星
shooting star,流れ星
solar system,太陽系
space,空間
space shuttle,スペースシャトル
spaceship,宇宙船
star,星
sun,太陽
supernova,超新星
universe,宇宙
Uranus,天王星
Venus,金星
Pluto,冥王星
atmosphere,大気
rainbow,虹
observatory,天文台
Aries,おひつじ座
telescope,望遠鏡
